"名字";"国家";"联赛";"声望";"平均年龄";"收支结余";"转会预算";"转会余额";"工资预算";"状态";"TF";"YF";"JC";"球场容量";"平均上座";"评分";"潜力评分";"Unique ID"
"Zrinski Osje?ko 1664";"Croatia";"Third League";"3,600";"20.5";"4,040";"0";"0";"0";"职业";"9";"7";"8";"19,500";"250";"10.2%";"10.5%";"24,059,986"
"Zrinjski";"Bosnia & Herzegovina";"Premier League";"5,716";"32.0";"8,664,700";"0";"0";"0";"职业";"12";"12";"12";"25,000";"2,565";"19.9%";"20.3%";"650,047"
"Zorkiy";"Russia";"Second Division B Group 2";"2,676";"0.0";"41,220";"0";"0";"0";"职业";"1";"2";"2";"8,000";"850";"0.0%";"0.0%";"8,060,973"
"Zoria";"Ukraine";"Premier League";"5,461";"23.8";"2,557,050";"1,180,380";"1,570,860";"50,920";"职业";"10";"10";"6";"4,700";"4,122";"69.4%";"73.1%";"1,902"
"Zonguldak K?mürspor";"Türkiye";"3. League Group 3";"3,800";"29.7";"22,520";"0";"0";"0";"职业";"1";"3";"4";"13,795";"6,000";"60.6%";"63.4%";"70,061,827"
"Zodiak";"Russia";"Jupiler Pro League";"1";"0.0";"0";"0";"0";"0";"职业";"1";"1";"1";"15,000";"250";"0.0%";"0.0%";"58,007,288"
"Zob Ahan";"Iran";"Premier League";"5,100";"26.8";"2,870,280";"0";"0";"0";"职业";"12";"13";"13";"20,000";"6,000";"65.9%";"69.6%";"104,395"
"Znicz Pruszków";"Poland";"Second Division";"2,500";"0.0";"82,070";"0";"0";"0";"职业";"8";"13";"12";"2,097";"1,300";"0.0%";"0.0%";"714,240"
"Znamya Truda";"Russia";"Second Division B Group 2";"2,650";"27.0";"290";"0";"0";"0";"职业";"3";"3";"3";"1,500";"225";"5.9%";"6.3%";"478,893"
"Znamya Noginsk";"Russia";"Second Division B Group 3";"2,550";"23.2";"7,520";"0";"0";"0";"职业";"2";"2";"2";"2,500";"166";"18.4%";"21.6%";"8,084,193"
"Zlín";"Czechia";"First Division";"5,350";"31.0";"6,591,080";"0";"0";"0";"职业";"11";"12";"12";"5,898";"3,200";"5.8%";"5.9%";"467"
"Zlate Moravce";"Slovakia";"First Division";"4,250";"0.0";"261,930";"0";"0";"0";"职业";"12";"10";"10";"4,100";"1,500";"0.0%";"0.0%";"7,560,050"
"ZJ Yiteng";"China";"Jupiler Pro League";"1";"0.0";"0";"0";"0";"0";"职业";"7";"7";"9";"40,000";"2,351";"0.0%";"0.0%";"23,454,929"
"ZJ Greentown";"China";"Jupiler Pro League";"4,000";"0.0";"13,240";"0";"0";"0";"职业";"11";"10";"10";"40,000";"250";"0.0%";"0.0%";"131,166"
"Zitácuaro";"Mexico";"Premier League Serie B";"2,500";"22.0";"0";"0";"0";"0";"职业";"5";"4";"4";"4,000";"600";"9.6%";"10.6%";"5,666,518"
"Zira";"Azerbaijan";"Premier League";"4,403";"26.3";"1,707,770";"0";"0";"0";"职业";"2";"4";"4";"1,500";"600";"35.7%";"38.6%";"59,091,534"
"Zinza";"Brazil";"Lower Division";"700";"0.0";"0";"0";"0";"0";"职业";"2";"3";"3";"9,564";"50";"0.0%";"0.0%";"2,000,255,426"
"Zimbru Chi?in?u";"Moldova";"Divizia Na?ional?";"4,105";"26.2";"2,058,850";"0";"0";"0";"职业";"12";"8";"10";"10,500";"1,550";"23.2%";"24.2%";"1,268"
"Zilina";"Slovakia";"First Division";"5,250";"0.0";"1,184,610";"0";"0";"0";"职业";"14";"14";"16";"11,253";"2,000";"0.0%";"0.0%";"1,620"
"Zhejiang";"China";"Super League";"4,580";"27.7";"15,682,110";"9,986,410";"9,986,410";"144,660";"职业";"11";"10";"9";"52,672";"8,000";"62.6%";"65.5%";"131,229"
"ZH Qin'ao";"China";"Jupiler Pro League";"750";"0.0";"0";"0";"0";"0";"职业";"2";"2";"2";"42,000";"200";"0.0%";"0.0%";"2,000,128,344"
"ZH 2030";"China";"Amateur League";"750";"0.0";"0";"0";"0";"0";"职业";"2";"1";"-1";"0";"250";"0.0%";"0.0%";"2,000,269,045"
"Zesco United";"Zambia";"Premier League";"4,500";"23.8";"120,690";"0";"0";"0";"职业";"9";"7";"8";"49,800";"5,200";"26.4%";"28.1%";"5,691,127"
"Zenit-2";"Russia";"Second Division B Group 2";"3,300";"20.9";"0";"0";"0";"0";"职业";"3";"-1";"-1";"3,000";"425";"61.0%";"67.2%";"495,359"
"Zenit Penza";"Russia";"Second Division B Group 3";"2,350";"18.3";"3,700";"0";"0";"0";"职业";"8";"5";"4";"960";"127";"13.5%";"14.7%";"477,394"
"Zenit Irkutsk";"Russia";"Jupiler Pro League";"2,000";"0.0";"0";"0";"0";"0";"职业";"3";"2";"2";"12,000";"720";"0.0%";"0.0%";"8,058,409"
"Zenit Chelyabinsk";"Russia";"Jupiler Pro League";"1";"0.0";"0";"0";"0";"0";"职业";"1";"1";"1";"750";"250";"0.0%";"0.0%";"130,553"
"Zenit";"Russia";"Premier League";"7,305";"25.5";"202,912,460";"75,412,800";"88,510,050";"811,330";"职业";"15";"16";"9";"64,287";"27,720";"77.0%";"79.9%";"1,301,108"
"?eljezni?ar";"Bosnia & Herzegovina";"Premier League";"5,076";"23.5";"1,471,950";"0";"0";"0";"职业";"14";"12";"11";"13,449";"7,300";"12.0%";"13.0%";"1,300,156"
"?elezni?ar";"Serbia";"SuperLeague";"3,500";"20.0";"1,017,750";"0";"0";"0";"职业";"8";"8";"8";"1,200";"960";"6.4%";"7.0%";"62,159,794"
"ZED";"Egypt";"Premier League";"4,000";"0.0";"176,980";"0";"0";"0";"职业";"12";"14";"13";"4,000";"250";"0.0%";"0.0%";"2,000,067,559"
"Zébra Elites";"Belgium";"First National Amateur";"2,928";"19.9";"610";"0";"0";"14,530";"职业";"14";"15";"14";"1,500";"174";"61.9%";"67.0%";"2,000,181,440"
"ZB Sunday";"China";"Jupiler Pro League";"1,450";"0.0";"0";"0";"0";"0";"职业";"3";"1";"1";"45,000";"250";"0.0%";"0.0%";"1,037,019"
"ZB Qisheng";"China";"Dalian SL";"550";"0.0";"0";"0";"0";"0";"职业";"2";"1";"-1";"17,000";"100";"0.0%";"0.0%";"2,000,128,311"
"ZB Cuju";"China";"Jupiler Pro League";"1,450";"0.0";"0";"0";"0";"0";"职业";"2";"2";"2";"45,000";"100";"0.0%";"0.0%";"23,486,366"
"Zaragoza B";"Spain";"Spanish Federation 2 Gr 2";"4,200";"20.5";"0";"0";"0";"0";"职业";"1";"1";"1";"2,500";"900";"62.3%";"69.5%";"1,750"
"Zaragoza";"Spain";"LaLiga SmartBank";"5,983";"24.6";"6,976,610";"1,902,940";"2,102,080";"158,500";"职业";"14";"13";"15";"33,608";"27,956";"72.8%";"78.4%";"1,749"
"Zap";"Mexico";"Jupiler Pro League";"1";"0.0";"0";"0";"0";"0";"职业";"5";"5";"4";"0";"250";"0.0%";"0.0%";"2,000,135,730"
"Zanaco";"Zambia";"Premier League";"4,200";"0.0";"164,520";"0";"0";"0";"职业";"8";"7";"7";"20,000";"4,500";"0.0%";"0.0%";"5,341,711"
"Zamora F.C. (VEN) B";"Venezuela";"Jupiler Pro League";"2,350";"0.0";"166,630";"0";"0";"0";"职业";"4";"3";"4";"10,000";"250";"0.0%";"0.0%";"86,005,813"
"Zamora F.C. (VEN)";"Venezuela";"Premier Division";"4,631";"24.2";"3,891,640";"0";"0";"0";"职业";"12";"11";"12";"29,000";"2,100";"26.8%";"29.1%";"76,003,517"
"Zamora";"Spain";"Spanish Federation 1A";"4,050";"27.7";"0";"0";"0";"0";"职业";"12";"12";"9";"7,813";"2,200";"64.4%";"68.4%";"4,212,243"
"Zamalek";"Egypt";"Premier League";"6,100";"23.7";"1,411,150";"0";"0";"0";"职业";"15";"10";"13";"74,100";"50,000";"19.4%";"20.6%";"106,755"
"?algiris";"Lithuania";"A League";"4,001";"27.0";"4,259,780";"0";"0";"0";"职业";"7";"7";"7";"5,067";"1,051";"46.6%";"49.7%";"1,218"
"Zakho";"Iraq";"Premier League";"3,200";"27.2";"873,130";"0";"0";"0";"职业";"7";"6";"5";"25,000";"250";"22.6%";"23.7%";"145,742"
"Zag??bie Sosnowiec";"Poland";"First Division";"3,950";"26.0";"73,780";"0";"0";"0";"职业";"10";"10";"9";"11,600";"5,500";"5.7%";"5.7%";"129,585"
"Zacatepec";"Mexico";"Jupiler Pro League";"3,750";"22.8";"0";"0";"0";"0";"职业";"7";"9";"8";"24,443";"4,602";"57.9%";"65.0%";"136,020"
"Zacapa";"Guatemala";"Liga Nacional";"3,000";"0.0";"0";"0";"0";"0";"职业";"8";"9";"12";"8,000";"554";"0.0%";"0.0%";"5,395,159"
"YW Jinxiu";"China";"Amateur League";"250";"0.0";"0";"0";"0";"0";"职业";"2";"1";"1";"35,000";"250";"0.0%";"0.0%";"2,000,290,300"
"Yverdon";"Switzerland";"Challenge League";"5,600";"27.2";"694,090";"0";"0";"0";"职业";"9";"6";"7";"4,000";"4,180";"67.6%";"69.6%";"105,898"
"Yurimaguas";"Peru";"Copa Peru";"1,350";"0.0";"49,340";"0";"0";"0";"职业";"3";"2";"2";"8,000";"250";"0.0%";"0.0%";"5,290,534"
"Yupanqui";"Argentina";"Fourth Division AFA";"3,400";"25.8";"0";"0";"0";"0";"职业";"4";"4";"6";"500";"300";"50.7%";"53.6%";"952,758"
"Yunnan";"China";"Jupiler Pro League";"1";"0.0";"0";"0";"0";"0";"职业";"13";"11";"9";"41,500";"14,071";"0.0%";"0.0%";"115,988"
"Yunired";"Uzbekistan";"Pro League";"2,550";"0.0";"0";"0";"0";"0";"职业";"2";"2";"2";"16,000";"140";"0.0%";"0.0%";"2,000,174,563"
"Yucatán";"Mexico";"Jupiler Pro League";"1";"0.0";"0";"0";"0";"0";"职业";"11";"7";"7";"0";"500";"0.0%";"0.0%";"136,015"
"YT Wanfang";"China";"Amateur League";"250";"0.0";"0";"0";"0";"0";"职业";"2";"1";"1";"0";"250";"0.0%";"0.0%";"2,000,290,299"
"YSCC Yokohama";"Japan";"J3 League";"3,072";"23.8";"1,539,980";"460,310";"460,310";"13,440";"职业";"8";"7";"9";"15,440";"1,532";"56.1%";"59.9%";"786,525"
"Ypsonas";"Cyprus";"First Division";"4,250";"30.6";"41,930";"0";"0";"0";"职业";"3";"3";"3";"13,331";"50";"28.2%";"29.0%";"26,035,664"
"Ypiranga (PE)";"Brazil";"Lower Division";"850";"0.0";"0";"0";"0";"0";"职业";"3";"3";"3";"5,039";"2,764";"0.0%";"0.0%";"314,979"
"Ypiranga (BA)";"Brazil";"Jupiler Pro League";"500";"0.0";"0";"0";"0";"0";"职业";"4";"3";"3";"4,000";"1,000";"0.0%";"0.0%";"309,750"
"Ypiranga (AP)";"Brazil";"Lower Division";"1,041";"23.2";"0";"0";"0";"0";"职业";"8";"6";"7";"13,680";"1,500";"18.1%";"20.6%";"104,988"
"Ypiranga";"Brazil";"Fourth Division";"4,392";"31.0";"671,560";"0";"0";"0";"职业";"3";"3";"5";"22,000";"830";"64.6%";"66.2%";"319,160"
"Young Reds";"Belgium";"Second Division ACFF C";"2,268";"19.3";"909,580";"0";"0";"28,530";"职业";"14";"13";"14";"14,538";"340";"63.2%";"71.0%";"2,000,181,438"
"Young Lions";"Singapore";"Premier League";"1,700";"0.0";"250,720";"0";"0";"0";"职业";"5";"5";"5";"8,000";"500";"0.0%";"0.0%";"7,800,917"
"Young Buffaloes";"Eswatini";"Premier League";"2,350";"0.0";"117,180";"0";"0";"0";"职业";"4";"4";"4";"8,000";"250";"0.0%";"0.0%";"5,341,537"
"Young Boys";"Switzerland";"Super League";"6,510";"25.1";"43,218,390";"0";"0";"0";"职业";"10";"10";"15";"31,500";"28,384";"73.9%";"76.9%";"1,847"
"Young Africans";"Tanzania";"Premier Division";"5,029";"0.0";"2,482,750";"0";"0";"0";"职业";"13";"11";"12";"60,000";"20,000";"0.0%";"0.0%";"5,340,989"
"YOSA";"Cameroon";"Elite One B";"2,750";"0.0";"90,240";"0";"0";"0";"职业";"6";"8";"7";"10,000";"1,000";"0.0%";"0.0%";"12,037,494"
"York United FC";"Canada";"Canadian Premier League";"4,116";"19.3";"46,170";"0";"0";"0";"职业";"12";"12";"10";"5,000";"3,000";"60.5%";"68.0%";"20,502,987"
"York City";"England";"Vanarama National";"3,799";"26.6";"1,645,890";"0";"0";"0";"职业";"7";"6";"6";"8,512";"4,843";"64.1%";"69.3%";"744"
"Yokohama FC";"Japan";"J1 League";"4,765";"26.6";"17,246,560";"11,427,420";"11,354,000";"125,400";"职业";"13";"12";"11";"15,440";"8,720";"68.1%";"71.5%";"7,100,042"
"Yokohama F?M";"Japan";"J1 League";"6,148";"28.4";"2,968,060";"6,065,800";"5,479,690";"325,960";"职业";"16";"14";"13";"72,327";"26,529";"72.8%";"75.5%";"1,198"
"YN Yukun Steel";"China";"Jupiler Pro League";"900";"0.0";"0";"0";"0";"0";"职业";"2";"1";"-1";"15,000";"250";"0.0%";"0.0%";"2,000,136,364"
"YN Yukun";"China";"Super League";"1,422";"26.9";"-671,780";"0";"0";"21,980";"职业";"2";"1";"-1";"30,000";"8,592";"49.0%";"52.2%";"2,000,319,417"
"YN Kunlu";"China";"Jupiler Pro League";"1,500";"0.0";"0";"0";"0";"0";"职业";"3";"2";"2";"34,162";"250";"0.0%";"0.0%";"23,461,825"
"YN Jindallae";"China";"Amateur League";"550";"0.0";"0";"0";"0";"0";"职业";"2";"1";"-1";"0";"250";"0.0%";"0.0%";"2,000,269,051"
"YN Feihu";"China";"Jupiler Pro League";"2,100";"0.0";"33,050";"0";"0";"0";"职业";"6";"5";"2";"32,800";"4,523";"0.0%";"0.0%";"23,359,150"
"Yessentuki";"Russia";"Jupiler Pro League";"2,150";"0.0";"0";"0";"0";"0";"职业";"3";"2";"2";"550";"195";"0.0%";"0.0%";"2,000,023,735"
"Yeovil Town";"England";"Vanarama National";"3,501";"24.3";"371,740";"0";"0";"0";"职业";"7";"4";"6";"9,565";"3,678";"61.2%";"67.1%";"743"
"Yenisey-2";"Russia";"Second Division B Group 4";"2,550";"20.6";"0";"0";"0";"0";"职业";"1";"1";"1";"3,000";"230";"38.0%";"42.9%";"2,000,109,063"
"Yenisey";"Russia";"First Division";"4,734";"26.6";"357,190";"408,050";"87,630";"56,540";"职业";"10";"8";"7";"15,000";"4,082";"64.7%";"68.0%";"58,066,512"
"Yeni Mersin ?.Y.";"Türkiye";"2. League Red Group";"3,551";"27.2";"199,560";"0";"0";"0";"职业";"8";"7";"5";"25,497";"7,500";"63.2%";"66.6%";"70,042,997"
"Yeni Malatyaspor";"Türkiye";"1. League";"4,464";"22.3";"1,242,620";"78,640";"78,640";"2,250";"职业";"6";"6";"4";"27,044";"1,500";"60.0%";"66.5%";"130,378"
"Yeclano";"Spain";"Spanish Federation 2 Gr 4";"3,865";"25.1";"2,731,250";"221,120";"137,040";"60,060";"职业";"11";"8";"9";"4,500";"900";"63.5%";"67.9%";"4,203,018"
"YC Jiangwu V Tiger";"China";"Jupiler Pro League";"750";"0.0";"0";"0";"0";"0";"职业";"1";"1";"-1";"22,000";"250";"0.0%";"0.0%";"34,045,872"
"YC Helanshan";"China";"Jupiler Pro League";"2,500";"0.0";"0";"0";"0";"0";"职业";"2";"2";"2";"39,872";"2,185";"0.0%";"0.0%";"23,227,999"
"YB Longding";"China";"First Division";"1,968";"26.1";"134,060";"0";"0";"14,280";"职业";"4";"5";"4";"30,000";"16,016";"52.7%";"56.0%";"23,492,352"
"YB Beiguo";"China";"Jupiler Pro League";"1,350";"0.0";"0";"0";"0";"0";"职业";"2";"2";"3";"10,000";"250";"0.0%";"0.0%";"23,404,944"
"Yarmouk (KUW)";"Kuwait";"Premier League";"2,750";"0.0";"1,030,080";"0";"0";"0";"职业";"7";"7";"4";"15,000";"80";"0.0%";"0.0%";"135,304"
"Yaracuyanos";"Venezuela";"Premier Division";"3,500";"16.0";"822,360";"0";"0";"0";"职业";"10";"8";"8";"12,000";"250";"51.1%";"62.0%";"86,005,820"
"Yaracuy";"Venezuela";"Jupiler Pro League";"2,750";"0.0";"0";"0";"0";"0";"职业";"8";"5";"5";"12,000";"250";"0.0%";"0.0%";"86,037,315"
"Yantra Gabrovo";"Bulgaria";"Second League";"3,850";"0.0";"0";"0";"0";"0";"职业";"8";"8";"8";"14,000";"350";"0.0%";"0.0%";"7,500,389"
"Yangon Utd";"Myanmar";"National League";"3,016";"16.0";"683,290";"0";"0";"0";"职业";"6";"3";"3";"3,500";"3,000";"4.2%";"4.2%";"23,090,927"
"Yangiyer";"Uzbekistan";"Pro League";"3,450";"0.0";"0";"0";"0";"0";"职业";"1";"3";"3";"7,000";"1,200";"0.0%";"0.0%";"59,016,180"
"Yancheng";"China";"Jupiler Pro League";"1,600";"0.0";"0";"0";"0";"0";"职业";"5";"5";"1";"15,000";"770";"0.0%";"0.0%";"23,340,434"
"Yanbian";"China";"Jupiler Pro League";"3,750";"0.0";"881,320";"0";"0";"0";"职业";"5";"4";"7";"30,000";"19,305";"0.0%";"0.0%";"115,946"
"Yamaguchi";"Japan";"J2 League";"4,072";"27.5";"6,856,660";"5,784,600";"5,784,600";"41,720";"职业";"8";"8";"6";"15,115";"4,424";"63.0%";"67.0%";"775,166"
"Yamagata";"Japan";"J2 League";"3,954";"26.4";"4,246,810";"4,658,760";"4,658,760";"62,350";"职业";"12";"12";"10";"20,315";"7,909";"63.2%";"67.3%";"107,301"
"Yahukimo FC";"Indonesia";"League Four";"1,600";"0.0";"13,610";"0";"0";"0";"职业";"1";"1";"2";"15,000";"2,500";"0.0%";"0.0%";"41,006,729"
"Yadanarbon";"Myanmar";"National League";"2,964";"0.0";"247,840";"0";"0";"0";"职业";"6";"3";"3";"3,500";"6,000";"0.0%";"0.0%";"23,090,923"
"Yadah Stars FC";"Zimbabwe";"Premier Division";"2,400";"29.0";"0";"0";"0";"0";"职业";"3";"2";"2";"80,000";"250";"4.5%";"4.9%";"13,194,687"
"XZ Huitong";"China";"Jupiler Pro League";"1,800";"0.0";"236,720";"0";"0";"0";"职业";"3";"2";"1";"31,308";"5,817";"0.0%";"0.0%";"1,017,859"
"Xylotybou";"Cyprus";"Third Division";"3,750";"21.5";"49,350";"0";"0";"0";"职业";"1";"1";"1";"1,000";"100";"10.6%";"11.8%";"26,031,758"
"XV de Piracicaba";"Brazil";"Fourth Division";"2,450";"26.8";"0";"0";"0";"0";"职业";"5";"5";"5";"18,000";"1,200";"60.5%";"65.3%";"104,978"
"XV de Jaú";"Brazil";"Lower Division";"1,000";"0.0";"40";"0";"0";"0";"职业";"4";"8";"5";"12,978";"1,000";"0.0%";"0.0%";"310,357"
"Xorazm";"Uzbekistan";"Pro League";"3,600";"0.0";"0";"0";"0";"0";"职业";"1";"3";"3";"13,500";"1,000";"0.0%";"0.0%";"485,461"
"XM 1026";"China";"Amateur League";"736";"0.0";"9,750";"0";"0";"0";"职业";"2";"1";"-1";"0";"250";"0.0%";"0.0%";"2,000,269,049"
"XJ TS Leopard";"China";"Jupiler Pro League";"2,250";"0.0";"0";"0";"0";"0";"职业";"4";"3";"2";"45,000";"2,565";"0.0%";"0.0%";"23,245,287"
"XJ Snowland";"China";"Xinjiang";"250";"0.0";"21,850";"0";"0";"0";"职业";"3";"3";"5";"11,000";"250";"0.0%";"0.0%";"2,000,183,913"
"Xinabajul";"Guatemala";"Liga Nacional";"2,950";"24.5";"0";"0";"0";"0";"职业";"5";"8";"12";"5,340";"1,100";"11.8%";"12.2%";"78,004,135"
"Xiamen";"China";"Jupiler Pro League";"3,000";"0.0";"773,500";"0";"0";"0";"职业";"7";"5";"2";"32,000";"7,821";"0.0%";"0.0%";"131,219"
"Xerez DFC";"Spain";"Spanish Federation 3 Gr10";"2,750";"22.7";"0";"0";"0";"0";"职业";"10";"8";"9";"20,523";"3,000";"30.0%";"31.8%";"67,259,097"
"Xelajú";"Guatemala";"Liga Nacional";"3,500";"0.0";"0";"0";"0";"0";"职业";"10";"10";"13";"11,200";"1,789";"0.0%";"0.0%";"5,395,076"
"Xazar";"Azerbaijan";"South Zone";"1";"0.0";"0";"0";"0";"0";"职业";"3";"2";"2";"16,000";"4,300";"0.0%";"0.0%";"145,748"
"XA Wolves";"China";"Jupiler Pro League";"1,150";"0.0";"0";"0";"0";"0";"职业";"3";"2";"1";"12,208";"237";"0.0%";"0.0%";"23,461,810"
"XA UKD";"China";"Jupiler Pro League";"1,000";"0.0";"0";"0";"0";"0";"职业";"3";"2";"1";"10,000";"250";"0.0%";"0.0%";"23,999,903"
"Wydad Casablanca";"Morocco";"Botola 1";"5,747";"27.6";"10,922,880";"0";"0";"0";"职业";"12";"10";"11";"45,891";"40,000";"69.1%";"72.1%";"1,201,001"
"Wycombe Wanderers";"England";"Sky Bet League One";"4,933";"25.9";"622,470";"0";"286,180";"82,690";"职业";"10";"8";"6";"10,264";"6,037";"68.9%";"72.7%";"742"
"WX Wugo";"China";"First Division";"1,130";"23.4";"-255,360";"38,420";"38,420";"7,320";"职业";"2";"2";"2";"25,000";"1,132";"48.5%";"51.8%";"2,000,082,648"
"Würzburger Kickers";"Germany";"3. Liga";"4,600";"26.6";"0";"0";"0";"0";"职业";"9";"9";"7";"13,090";"2,588";"63.0%";"66.4%";"8,709,077"
"Wuppertal";"Germany";"3. Liga";"4,050";"28.3";"0";"0";"0";"0";"职业";"12";"8";"5";"23,067";"1,661";"63.3%";"66.8%";"2,259"
"WSG Tirol";"Austria";"Admiral Bundesliga";"5,900";"27.7";"989,540";"0";"0";"0";"职业";"13";"13";"12";"5,500";"1,550";"19.7%";"20.2%";"16,324,690"
"WS Bruxelles";"Belgium";"Jupiler Pro League";"1";"0.0";"0";"0";"0";"0";"职业";"3";"6";"10";"3,165";"200";"0.0%";"0.0%";"8,150,905"
"Wrexham";"Wales";"Sky Bet Championship";"5,249";"26.5";"8,926,760";"4,056,170";"2,995,470";"187,640";"职业";"12";"8";"9";"16,000";"10,095";"71.5%";"74.9%";"741"
"Wolves";"England";"Premier League";"6,619";"24.7";"78,239,340";"82,691,490";"57,088,900";"1,943,670";"职业";"17";"17";"15";"31,750";"30,765";"78.6%";"82.3%";"740"
"Wolfsberger AC";"Austria";"Admiral Bundesliga";"6,050";"29.3";"9,925,680";"0";"0";"0";"职业";"14";"12";"12";"7,300";"3,627";"19.7%";"20.1%";"16,034,828"
"Woking";"England";"Vanarama National";"3,553";"25.1";"275,550";"0";"0";"0";"职业";"9";"8";"8";"6,036";"2,734";"62.0%";"66.9%";"739"
"Wis?a Pu?awy";"Poland";"Second Division";"2,500";"0.0";"0";"0";"0";"0";"职业";"7";"6";"7";"4,418";"600";"0.0%";"0.0%";"96,023,666"
"Wis?a P?ock";"Poland";"PKO BP Ekstraklasa";"5,050";"29.0";"0";"0";"0";"0";"职业";"6";"6";"8";"15,004";"8,000";"41.8%";"43.4%";"1,458"
"Wis?a Kraków";"Poland";"First Division";"4,500";"27.2";"556,860";"0";"0";"0";"职业";"12";"10";"12";"33,130";"15,275";"48.4%";"49.8%";"1,300,881"
"Winterthur";"Switzerland";"Super League";"5,550";"27.8";"1,560,060";"0";"0";"0";"职业";"12";"11";"12";"8,400";"7,990";"31.4%";"32.3%";"1,200,101"
"Wimbledon";"England";"Jupiler Pro League";"1";"0.0";"0";"0";"0";"0";"职业";"1";"1";"1";"0";"250";"0.0%";"0.0%";"738"
"Wimbledon";"England";"Sky Bet League One";"4,364";"25.8";"2,968,950";"1,224,090";"267,520";"57,960";"职业";"6";"6";"8";"9,150";"7,606";"66.7%";"71.7%";"5,110,769"
"Willem II";"Netherlands";"Eredivisie";"5,582";"26.0";"104,400";"1,973,220";"565,670";"136,620";"职业";"15";"14";"14";"14,750";"16,381";"70.7%";"73.5%";"1,047"
"Wiliete Benguela";"Angola";"Girabola";"3,900";"0.0";"56,260";"0";"0";"0";"职业";"11";"10";"11";"35,000";"250";"0.0%";"0.0%";"95,068,460"
"Wil";"Switzerland";"Challenge League";"5,100";"20.2";"398,500";"0";"0";"0";"职业";"9";"8";"10";"6,010";"2,112";"22.9%";"25.1%";"130,820"
"Wikki Tourist";"Nigeria";"Second Division B1";"4,050";"16.0";"0";"0";"0";"0";"职业";"9";"7";"9";"25,000";"250";"5.2%";"6.8%";"5,340,763"
"Wigan Athletic";"England";"Sky Bet Championship";"5,160";"24.7";"-3,998,700";"5,614,160";"0";"166,290";"职业";"12";"14";"11";"25,146";"13,530";"69.3%";"74.8%";"737"
"Wieczysta Kraków";"Poland";"Second Division";"2,000";"28.2";"1,818,740";"0";"0";"0";"职业";"4";"3";"3";"1,384";"900";"23.5%";"24.9%";"2,000,028,546"
"Widzew";"Poland";"PKO BP Ekstraklasa";"4,650";"29.3";"15,177,980";"0";"0";"0";"职业";"12";"12";"7";"18,018";"17,000";"62.4%";"64.7%";"1,468"
"WH Xiaoma";"China";"Amateur League";"250";"0.0";"0";"0";"0";"0";"职业";"2";"1";"-1";"0";"250";"0.0%";"0.0%";"2,000,269,060"
"WH Three Towns";"China";"Super League";"3,956";"28.2";"30,763,430";"16,396,990";"16,396,990";"166,880";"职业";"8";"6";"7";"60,000";"11,296";"64.8%";"67.3%";"23,487,243"
"WH Jiangcheng";"China";"Second Division North";"600";"0.0";"0";"0";"0";"0";"职业";"2";"2";"2";"9,200";"310";"0.0%";"0.0%";"23,143,365"
