name,age,nationality,club,league,position,overall,potential,value,wage,height,weight,preferred_foot,pace,shooting,passing,dribbling,defending,physical
Pablo López,31,Spain,Manchester United,Premier League,CB,83,81,8300000,1000,185,72,Left,82,73,76,71,85,82
Thiago Martínez,31,Argentina,Manchester United,Premier League,CB,83,96,8300000,1000,194,83,Right,93,61,88,87,91,86
George Brown,28,England,Manchester United,Premier League,CB,84,86,10920000,1000,188,77,Right,85,76,94,80,80,91
Louis Bernard,34,France,Manchester United,Premier League,CB,84,81,5880000,1000,193,84,Right,94,78,74,70,89,86
Finn Schmidt,34,Germany,Manchester United,Premier League,LB,76,89,5320000,1000,176,70,Right,70,70,66,69,75,75
Sem Van den Berg,22,Netherlands,Manchester United,Premier League,LB,70,69,9054500,1000,170,69,Left,78,55,60,60,73,66
Noah Schmidt,32,Germany,Manchester United,Premier League,RB,72,82,6480000,1000,184,81,Right,80,50,76,73,74,68
Sem Van der Meer,31,Netherlands,Manchester United,Premier League,RB,70,66,7000000,1000,185,83,Right,63,60,74,57,67,75
Adam Janssens,23,Belgium,Manchester United,Premier League,CDM,78,92,10140000,1000,193,88,Right,77,77,89,87,81,76
Leo Sánchez,28,Spain,Manchester United,Premier League,CDM,77,85,10010000,1000,188,88,Right,80,65,82,80,77,80
Gael Pereira,22,Brazil,Manchester United,Premier League,CM,72,69,9219600,1000,172,72,Left,73,61,84,63,80,84
Milan De Vries,27,Netherlands,Manchester United,Premier League,CM,81,89,10530000,1000,171,67,Right,80,77,79,89,87,82
Elias Fischer,34,Germany,Manchester United,Premier League,CM,73,79,5110000,1000,181,70,Right,70,71,85,82,82,88
Noah Bakker,21,Netherlands,Manchester United,Premier League,CAM,75,78,9896249,1000,179,76,Right,70,70,74,88,67,62
Max Schmidt,32,Germany,Manchester United,Premier League,CAM,86,87,7740000,1000,182,81,Right,91,81,92,90,76,89
Noah Peeters,23,Belgium,Manchester United,Premier League,LM,75,89,9750000,1000,171,60,Right,84,78,85,89,69,73
Louis Bernard,26,France,Manchester United,Premier League,RM,83,81,10790000,1000,179,81,Right,87,74,85,90,64,68
Mattia Esposito,32,Italy,Manchester United,Premier League,LW,74,77,6660000,1000,179,76,Left,69,79,77,74,48,76
Levi Jansen,21,Netherlands,Manchester United,Premier League,RW,82,78,10446800,1000,183,69,Right,79,82,90,90,70,84
Bruno Rodríguez,27,Argentina,Manchester United,Premier League,CF,70,75,9100000,1000,180,81,Right,76,62,73,68,47,73
Jules Janssens,26,Belgium,Manchester United,Premier League,ST,79,84,10270000,1000,181,77,Left,76,85,89,77,65,85
Andrea Romano,31,Italy,Manchester United,Premier League,ST,74,76,7400000,1000,179,70,Right,75,69,83,73,64,66
Elias Becker,32,Germany,Manchester United,Premier League,ST,84,97,7560000,1000,188,84,Right,89,78,88,81,69,88
Lucas Martin,28,France,Chelsea,Premier League,GK,83,80,10790000,1000,194,93,Right,59,54,79,72,75,75
Jules Goossens,32,Belgium,Chelsea,Premier League,GK,68,77,6120000,1000,191,86,Right,58,42,54,62,61,68
Lucas García,24,Spain,Chelsea,Premier League,CB,81,90,10530000,1000,191,81,Right,82,65,83,79,86,77
Arthur Ferreira,22,Brazil,Chelsea,Premier League,CB,79,83,10475400,1000,187,77,Right,71,72,73,75,83,86
Paul Weber,29,Germany,Chelsea,Premier League,CB,79,94,9480000,1000,195,90,Left,85,56,89,77,90,85
George Jones,23,England,Chelsea,Premier League,CB,73,78,9490000,1000,195,95,Left,70,52,67,60,77,71
Noah Jansen,33,Netherlands,Chelsea,Premier League,LB,71,85,5680000,1000,182,72,Left,66,65,66,70,67,79
Heitor Pereira,30,Brazil,Chelsea,Premier League,LB,76,85,8360000,1000,177,71,Right,81,57,77,79,85,85
Adam Petit,23,France,Chelsea,Premier League,RB,73,87,9490000,1000,174,69,Left,83,63,74,75,71,71
Léo Dubois,25,France,Chelsea,Premier League,RB,81,92,10530000,1000,174,74,Left,78,70,82,66,89,77
Noah Fernández,27,Argentina,Chelsea,Premier League,CDM,69,75,8970000,1000,186,72,Right,62,74,74,63,63,65
Arthur Dubois,33,France,Chelsea,Premier League,CDM,82,91,6560000,1000,192,77,Left,72,75,83,76,89,96
James De Vries,33,Netherlands,Chelsea,Premier League,CM,76,78,6080000,1000,179,69,Left,73,74,91,85,80,73
Pablo García,31,Spain,Chelsea,Premier League,CM,83,96,8300000,1000,177,68,Right,86,68,97,84,80,96
Juan Rodríguez,29,Argentina,Chelsea,Premier League,CM,78,75,9360000,1000,170,70,Right,69,83,85,79,76,73
Arthur Ferreira,24,Brazil,Chelsea,Premier League,CAM,70,83,9100000,1000,180,71,Left,76,77,75,85,55,69
Miguel Ferreira,22,Portugal,Chelsea,Premier League,CAM,81,77,10319400,1000,179,72,Left,82,72,86,85,73,83
Rodrigo Silva,33,Portugal,Chelsea,Premier League,LM,73,77,5840000,1000,181,68,Right,78,71,71,79,66,70
Dinis Pereira,23,Portugal,Chelsea,Premier League,RM,82,92,10660000,1000,181,75,Left,90,74,90,96,67,84
Jules Bernard,21,France,Chelsea,Premier League,LW,77,81,10210200,1000,179,80,Right,85,72,81,83,61,68
Pedro Rodrigues,30,Brazil,Chelsea,Premier League,RW,68,65,7480000,1000,182,79,Right,68,58,62,82,52,59
Paul Fischer,33,Germany,Chelsea,Premier League,CF,78,84,6240000,1000,184,71,Right,77,89,82,84,59,82
Lucas Martínez,26,Spain,Chelsea,Premier League,ST,77,92,10010000,1000,182,75,Left,72,90,72,87,63,79
Daan Bakker,32,Netherlands,Chelsea,Premier League,ST,75,84,6750000,1000,181,76,Right,85,71,68,74,47,79
Elias Schmidt,32,Germany,Chelsea,Premier League,ST,77,83,6930000,1000,189,77,Right,89,76,76,77,67,72
Heitor Santos,26,Brazil,Tottenham,Premier League,GK,71,73,9230000,1000,200,85,Right,57,55,73,55,80,63
Mateo Sánchez,34,Spain,Tottenham,Premier League,GK,82,93,5740000,1000,198,96,Right,59,56,77,64,86,86
Milan Van den Berg,34,Netherlands,Tottenham,Premier League,CB,72,71,5040000,1000,189,76,Left,78,51,71,62,72,77
Andrea Bianchi,34,Italy,Tottenham,Premier League,CB,69,72,4830000,1000,186,80,Left,79,53,78,71,66,69
Adam Maes,31,Belgium,Tottenham,Premier League,CB,77,90,7700000,1000,183,69,Left,68,72,85,70,92,78
Jules Peeters,28,Belgium,Tottenham,Premier League,CB,76,91,9880000,1000,187,88,Left,78,60,80,63,72,76
Dinis Rodrigues,28,Portugal,Tottenham,Premier League,LB,73,78,9490000,1000,174,71,Right,73,59,75,62,79,71
Heitor Pereira,22,Brazil,Tottenham,Premier League,LB,75,84,10188750,1000,177,68,Left,66,59,77,79,83,77
Felix Meyer,24,Germany,Tottenham,Premier League,RB,72,82,9360000,1000,184,85,Right,77,47,64,69,83,81
Lorenzo Romano,21,Italy,Tottenham,Premier League,RB,68,72,9016800,1000,185,86,Right,75,43,61,66,67,71
Pedro Ferreira,21,Brazil,Tottenham,Premier League,CDM,79,75,10064600,1000,192,83,Right,78,66,86,85,83,91
Léo Dubois,22,France,Tottenham,Premier League,CDM,79,85,10578100,1000,195,90,Right,80,68,80,88,85,86
Noah De Jong,21,Netherlands,Tottenham,Premier League,CM,71,76,9460750,1000,185,85,Left,65,66,85,71,66,78
Liam Willems,29,Belgium,Tottenham,Premier League,CM,83,95,9960000,1000,185,80,Right,73,79,88,76,86,96
Gabriel Durand,25,France,Tottenham,Premier League,CM,74,70,9620000,1000,185,76,Right,76,63,76,65,82,72
Leonardo Ricci,26,Italy,Tottenham,Premier League,CAM,80,79,10400000,1000,183,75,Right,90,71,79,91,66,82
Gabriel Alves,26,Brazil,Tottenham,Premier League,CAM,72,81,9360000,1000,180,78,Right,75,81,82,73,59,65
Sem Van Dijk,25,Netherlands,Tottenham,Premier League,LM,76,77,9880000,1000,185,81,Right,82,83,79,80,59,79
James Smit,34,Netherlands,Tottenham,Premier League,RM,78,77,5460000,1000,179,67,Right,75,79,87,93,66,78
Lorenzo Bianchi,28,Italy,Tottenham,Premier League,LW,75,74,9750000,1000,173,67,Left,71,86,81,77,65,72
William Miller,25,England,Tottenham,Premier League,RW,82,80,10660000,1000,174,61,Right,82,85,92,92,67,92
Mattia Romano,25,Italy,Tottenham,Premier League,CF,68,65,8840000,1000,188,81,Right,64,63,71,68,39,70
Miguel Oliveira,20,Portugal,Tottenham,Premier League,ST,67,71,8200800,1000,187,76,Right,71,71,77,79,53,72
Elias Weber,23,Germany,Tottenham,Premier League,ST,70,75,9100000,1000,180,81,Right,73,82,65,65,50,69
Louis Maes,29,Belgium,Tottenham,Premier League,ST,79,87,9480000,1000,186,82,Left,86,90,72,79,53,84
Heitor Silva,27,Brazil,Newcastle United,Premier League,GK,76,78,9880000,1000,199,92,Right,60,46,69,67,73,67
Pablo López,25,Spain,Newcastle United,Premier League,GK,76,87,9880000,1000,194,82,Right,60,57,80,63,73,70
Miguel Rodrigues,32,Portugal,Newcastle United,Premier League,CB,75,83,6750000,1000,194,94,Right,71,57,84,62,86,84
Milan De Vries,30,Netherlands,Newcastle United,Premier League,CB,67,63,7370000,1000,191,82,Right,74,46,62,62,78,76
Leo Pérez,22,Spain,Newcastle United,Premier League,CB,80,89,10868000,1000,195,81,Right,74,71,83,79,93,76
Noud Bakker,32,Netherlands,Newcastle United,Premier League,CB,64,71,5760000,1000,187,73,Right,60,57,56,50,72,70
Hugo Rodríguez,28,Spain,Newcastle United,Premier League,LB,65,69,8450000,1000,183,74,Left,75,60,68,61,72,74
Benicio Rodríguez,31,Argentina,Newcastle United,Premier League,LB,68,83,6800000,1000,181,70,Left,75,55,74,57,70,63
Harry Wilson,31,England,Newcastle United,Premier League,RB,77,89,7700000,1000,182,75,Left,81,63,71,70,78,75
Thomas Smith,24,England,Newcastle United,Premier League,RB,70,67,9100000,1000,173,61,Right,79,46,67,56,77,79
Lorenzo Rossi,23,Italy,Newcastle United,Premier League,CDM,80,84,10400000,1000,186,82,Right,80,72,84,74,86,82
Bruno López,21,Argentina,Newcastle United,Premier League,CDM,69,84,9642750,1000,193,91,Right,74,55,75,79,71,80
Pedro Alves,23,Brazil,Newcastle United,Premier League,CM,73,80,9490000,1000,175,77,Left,70,67,72,77,64,85
Benicio Gómez,27,Argentina,Newcastle United,Premier League,CM,71,74,9230000,1000,176,73,Right,63,70,77,63,78,72
Harry Miller,31,England,Newcastle United,Premier League,CM,65,62,6500000,1000,176,69,Right,61,60,69,55,61,66
Pablo Fernández,32,Spain,Newcastle United,Premier League,CAM,70,77,6300000,1000,177,74,Right,77,74,82,85,61,64
Jules Durand,28,France,Newcastle United,Premier League,CAM,67,77,8710000,1000,180,73,Right,72,70,63,80,54,56
Harry Miller,25,England,Newcastle United,Premier League,LM,68,69,8840000,1000,180,74,Right,70,73,80,83,58,61
Tomás Rodrigues,23,Portugal,Newcastle United,Premier League,RM,75,75,9750000,1000,174,76,Left,71,81,71,72,56,60
Juan Fernández,21,Argentina,Newcastle United,Premier League,LW,68,63,8619000,1000,176,77,Right,64,77,78,82,53,73
James Miller,20,England,Newcastle United,Premier League,RW,64,75,8102400,1000,178,74,Left,75,76,67,64,37,57
Lucas Van Dijk,24,Netherlands,Newcastle United,Premier League,CF,80,83,10400000,1000,191,87,Right,87,72,81,87,64,88
Lorenzo Bianchi,30,Italy,Newcastle United,Premier League,ST,66,81,7260000,1000,191,77,Left,73,68,68,78,51,57
Oliver Johnson,27,England,Newcastle United,Premier League,ST,77,92,10010000,1000,190,86,Right,75,83,68,79,53,85
Rodrigo Silva,21,Portugal,Newcastle United,Premier League,ST,72,84,9921600,1000,187,74,Left,77,62,68,85,46,74
Mateo González,32,Spain,Aston Villa,Premier League,GK,67,80,6030000,1000,197,92,Right,46,39,68,58,58,60
Felipe Rodríguez,28,Argentina,Aston Villa,Premier League,GK,72,77,9360000,1000,185,79,Right,62,49,68,64,75,67
Jules Janssens,33,Belgium,Aston Villa,Premier League,CB,69,71,5520000,1000,194,81,Left,67,48,71,74,68,76
Davi Santos,22,Brazil,Aston Villa,Premier League,CB,60,64,7956000,1000,190,87,Right,53,39,52,50,68,69
James De Vries,21,Netherlands,Aston Villa,Premier League,CB,62,68,8301800,1000,191,78,Right,71,47,64,47,66,70
Bautista Fernández,30,Argentina,Aston Villa,Premier League,CB,76,76,8360000,1000,193,90,Left,70,59,75,69,86,75
Lucas Sánchez,25,Spain,Aston Villa,Premier League,LB,73,77,9490000,1000,185,73,Right,71,55,83,73,87,74
Lourenço Ferreira,25,Portugal,Aston Villa,Premier League,LB,60,67,7800000,1000,180,79,Right,64,45,63,65,74,59
Jules Thomas,28,France,Aston Villa,Premier League,RB,70,70,9100000,1000,182,78,Right,80,60,78,62,75,77
Adam Richard,22,France,Aston Villa,Premier League,RB,66,79,9137700,1000,175,62,Right,70,47,70,60,63,74
Miguel Oliveira,24,Portugal,Aston Villa,Premier League,CDM,68,67,8840000,1000,194,92,Right,60,67,82,73,76,75
James De Jong,33,Netherlands,Aston Villa,Premier League,CDM,71,83,5680000,1000,192,79,Left,68,67,71,81,80,67
Jules Willems,33,Belgium,Aston Villa,Premier League,CM,73,71,5840000,1000,170,61,Right,70,74,84,80,81,86
Riccardo Romano,27,Italy,Aston Villa,Premier League,CM,74,87,9620000,1000,174,72,Left,79,62,78,77,66,72
Felix Weber,26,Germany,Aston Villa,Premier League,CM,74,75,9620000,1000,185,82,Right,67,73,83,74,66,78
William Smith,34,England,Aston Villa,Premier League,CAM,70,85,4900000,1000,173,65,Right,72,76,70,82,55,65
James Van der Meer,24,Netherlands,Aston Villa,Premier League,CAM,72,87,9360000,1000,175,67,Right,80,74,67,86,58,71
Jules Claes,21,Belgium,Aston Villa,Premier League,LM,66,67,8622900,1000,178,67,Right,64,73,66,72,56,57
Lourenço Oliveira,31,Portugal,Aston Villa,Premier League,RM,75,86,7500000,1000,180,79,Right,82,83,73,81,66,74
Adam Mertens,29,Belgium,Aston Villa,Premier League,LW,62,61,7440000,1000,180,70,Left,66,55,57,68,36,68
Benicio Gómez,29,Argentina,Aston Villa,Premier League,RW,72,80,8640000,1000,175,77,Right,84,84,82,72,59,67
Rodrigo Ferreira,23,Portugal,Aston Villa,Premier League,CF,70,79,9100000,1000,187,74,Right,65,75,64,71,52,77
Noud Smit,30,Netherlands,Aston Villa,Premier League,ST,75,83,8250000,1000,189,89,Right,75,67,83,70,52,74
Harry Brown,28,England,Aston Villa,Premier League,ST,69,69,8970000,1000,190,90,Right,79,76,75,67,57,62
Jules Martin,32,France,Aston Villa,Premier League,ST,74,86,6660000,1000,181,80,Left,89,88,71,78,45,78
Jules Bernard,30,France,Brighton,Premier League,GK,63,65,6930000,1000,191,87,Right,51,38,67,47,59,59
George Jones,32,England,Brighton,Premier League,GK,65,70,5850000,1000,194,88,Right,48,38,54,58,56,63
Ben Fischer,23,Germany,Brighton,Premier League,CB,70,72,9100000,1000,195,92,Right,64,63,80,63,85,78
Thiago Rodríguez,31,Argentina,Brighton,Premier League,CB,62,69,6200000,1000,191,84,Right,63,51,67,57,75,57
Pablo Martínez,34,Spain,Brighton,Premier League,CB,62,74,4340000,1000,189,81,Right,58,52,60,57,66,67
Lucas Van der Meer,33,Netherlands,Brighton,Premier League,CB,70,66,5600000,1000,183,72,Right,74,45,63,60,79,79
Thomas Brown,32,England,Brighton,Premier League,LB,64,79,5760000,1000,179,71,Right,56,59,65,57,61,70
Max Wagner,31,Germany,Brighton,Premier League,LB,69,71,6900000,1000,183,71,Right,62,44,65,69,66,68
Louis Goossens,21,Belgium,Brighton,Premier League,RB,60,65,7994999,1000,173,73,Right,54,50,52,52,67,57
Martín Martínez,26,Spain,Brighton,Premier League,RB,69,68,8970000,1000,182,72,Right,63,46,75,72,64,69
Martim Costa,31,Portugal,Brighton,Premier League,CDM,64,72,6400000,1000,192,91,Left,56,52,63,57,72,71
Pedro Ferreira,33,Brazil,Brighton,Premier League,CDM,64,66,5120000,1000,187,75,Left,63,49,68,60,70,78
Levi Smit,25,Netherlands,Brighton,Premier League,CM,61,63,7930000,1000,185,83,Left,58,61,76,70,53,72
George Davis,23,England,Brighton,Premier League,CM,72,85,9360000,1000,183,80,Right,67,72,69,62,80,69
Harry Brown,21,England,Brighton,Premier League,CM,61,68,8207549,1000,179,79,Right,63,48,76,68,68,75
Jonas Schmidt,25,Germany,Brighton,Premier League,CAM,62,73,8060000,1000,176,67,Right,67,64,75,77,44,56
Felipe González,24,Argentina,Brighton,Premier League,CAM,62,70,8060000,1000,173,74,Right,58,61,62,60,42,51
Oliver Wilson,26,England,Brighton,Premier League,LM,76,87,9880000,1000,178,70,Right,75,74,74,71,66,74
Léo Robert,32,France,Brighton,Premier League,RM,62,72,5580000,1000,184,81,Left,72,70,62,68,47,55
Martín Fernández,31,Spain,Brighton,Premier League,LW,76,71,7600000,1000,171,58,Left,72,81,77,83,50,71
Thomas Brown,25,England,Brighton,Premier League,RW,67,75,8710000,1000,180,75,Left,80,68,60,78,38,62
Leonardo Colombo,22,Italy,Brighton,Premier League,CF,74,78,9812400,1000,190,85,Right,71,81,78,69,55,70
Lucas Thomas,27,France,Brighton,Premier League,ST,71,84,9230000,1000,185,77,Right,83,85,68,70,41,74
Jack Davis,30,England,Brighton,Premier League,ST,60,65,6600000,1000,178,77,Right,64,53,56,71,37,63
Afonso Ferreira,31,Portugal,Brighton,Premier League,ST,68,65,6800000,1000,178,72,Right,76,80,69,77,40,76
Lucas Sánchez,24,Spain,West Ham,Premier League,GK,61,69,7930000,1000,189,82,Right,44,41,58,51,61,65
Louis Bernard,26,France,West Ham,Premier League,GK,64,77,8320000,1000,188,78,Left,44,48,63,54,67,57
Milan Van Dijk,28,Netherlands,West Ham,Premier League,CB,69,78,8970000,1000,187,76,Left,64,53,78,55,70,74
Paul Fischer,26,Germany,West Ham,Premier League,CB,72,83,9360000,1000,183,78,Right,67,47,74,71,84,74
Pablo Rodríguez,33,Spain,West Ham,Premier League,CB,64,62,5120000,1000,183,70,Left,58,45,66,60,79,61
Liam Janssens,21,Belgium,West Ham,Premier League,CB,62,63,8100299,1000,193,92,Left,54,47,55,48,71,58
Noah Wagner,28,Germany,West Ham,Premier League,LB,60,67,7800000,1000,183,74,Right,56,40,58,53,69,59
Jack Jones,28,England,West Ham,Premier League,LB,73,85,9490000,1000,185,72,Left,71,60,67,71,74,75
Noah Smit,33,Netherlands,West Ham,Premier League,RB,71,81,5680000,1000,185,82,Right,77,56,73,64,71,66
Heitor Silva,33,Brazil,West Ham,Premier League,RB,68,64,5440000,1000,185,82,Right,65,48,61,60,70,71
